"","foo.cont","foo.e","foo.value"
"3614","Italy","Alcohol.Use.Disorders",0.0199999999999999
"3052","Malawi","Environmental.Heat.and.Cold.Exposure",0.02
"3511","Jordan","Protein.Energy.Malnutrition",0.02
"6243","Algeria","Conflict.and.Terrorism",0.02
"47","Zambia","Exposure.to.Forces.of.Nature",0.02
"138","Venezuela","Environmental.Heat.and.Cold.Exposure",0.02
"1998","Panama","Environmental.Heat.and.Cold.Exposure",0.02
"3705","Iraq","Exposure.to.Forces.of.Nature",0.02
"5005","Costa Rica","Environmental.Heat.and.Cold.Exposure",0.02
"6016","Australia","Acute.Hepatitis",0.02
"725","Thailand","Conflict.and.Terrorism",0.02
"2461","Nepal","Conflict.and.Terrorism",0.02
"3403","Kuwait","HIV.AIDS",0.02
"3404","Kuwait","Maternal.Disorders",0.02
"4032","Guatemala","Acute.Hepatitis",0.02
"4958","Croatia","Nutritional.Deficiencies",0.02
"5326","Canada","Maternal.Disorders",0.02
"1286","Singapore","Diarrheal.Diseases",0.02
"1719","Romania","Environmental.Heat.and.Cold.Exposure",0.02
"1812","Portugal","Environmental.Heat.and.Cold.Exposure",0.02
"1944","Paraguay","Tuberculosis",0.02
"2401","New Zealand","Environmental.Heat.and.Cold.Exposure",0.02
"3532","Jordan","Nutritional.Deficiencies",0.02
"3684","Ireland","Interpersonal.Violence",0.02
"3878","Honduras","Fire..Heat..and.Hot.Substances",0.02
"4783","Denmark","Poisonings",0.02
"5067","Congo","Environmental.Heat.and.Cold.Exposure",0.02
"6105","Argentina","Nutritional.Deficiencies",0.02
"6152","Angola","Environmental.Heat.and.Cold.Exposure",0.03
"756","Tanzania","Conflict.and.Terrorism",0.03
"1016","Sri Lanka","HIV.AIDS",0.03
"1269","Slovakia","Nutritional.Deficiencies",0.03
"1372","Serbia","Protein.Energy.Malnutrition",0.03
"1393","Serbia","Nutritional.Deficiencies",0.03
"1442","Saudi Arabia","Exposure.to.Forces.of.Nature",0.03
"2370","Nicaragua","Environmental.Heat.and.Cold.Exposure",0.03
"4953","Croatia","HIV.AIDS",0.03
"5193","Chile","Exposure.to.Forces.of.Nature",0.03
"5464","Bulgaria","Protein.Energy.Malnutrition",0.03
"5588","Bosnia and Herzegovina","Protein.Energy.Malnutrition",0.03
"2348","Niger","Drug.Use.Disorders",0.03
"861","Syria","HIV.AIDS",0.03
"1738","Qatar","Acute.Hepatitis",0.03
"6286","Albania","HIV.AIDS",0.03
"2241","North Korea","Poisonings",0.03
"3537","Japan","Fire..Heat..and.Hot.Substances",0.03
"5726","Benin","Tuberculosis",0.0300000000000011
"5823","Belarus","Interpersonal.Violence",0.0300000000000011
"3165","Libya","Fire..Heat..and.Hot.Substances",0.0399999999999998
"3009","Malaysia","Acute.Hepatitis",0.0399999999999999
"3645","Israel","Alcohol.Use.Disorders",0.0399999999999999
"3480","Kazakhstan","Protein.Energy.Malnutrition",0.04
"789","Tajikistan","Environmental.Heat.and.Cold.Exposure",0.04
"3515","Jordan","Conflict.and.Terrorism",0.04
"318","United Kingdom","Protein.Energy.Malnutrition",0.04
"820","Taiwan","Environmental.Heat.and.Cold.Exposure",0.04
"1274","Singapore","Fire..Heat..and.Hot.Substances",0.04
"1874","Philippines","Environmental.Heat.and.Cold.Exposure",0.04
"2875","Mauritania","Drug.Use.Disorders",0.04
"3698","Iraq","Poisonings",0.04
"6090","Argentina","Environmental.Heat.and.Cold.Exposure",0.04
"65","Yemen","Fire..Heat..and.Hot.Substances",0.04
"1758","Qatar","Tuberculosis",0.04
"3078","Madagascar","Poisonings",0.04
"4994","Costa Rica","Fire..Heat..and.Hot.Substances",0.04
"882","Switzerland","Environmental.Heat.and.Cold.Exposure",0.05
"2091","Pakistan","Environmental.Heat.and.Cold.Exposure",0.05
"3610","Italy","Environmental.Heat.and.Cold.Exposure",0.05
"4400","Finland","Nutritional.Deficiencies",0.05
"5877","Bangladesh","Alcohol.Use.Disorders",0.05
"5919","Bahrain","Nutritional.Deficiencies",0.05
"1077","South Sudan","Drug.Use.Disorders",0.05
"2968","Mali","Drug.Use.Disorders",0.05
"1264","Slovakia","HIV.AIDS",0.05
"3393","Kuwait","Environmental.Heat.and.Cold.Exposure",0.05
"4642","Egypt","Drug.Use.Disorders",0.05
"4664","Ecuador","Environmental.Heat.and.Cold.Exposure",0.05
"5231","Chad","Drug.Use.Disorders",0.05
"5904","Bahrain","Environmental.Heat.and.Cold.Exposure",0.05
"76","Yemen","Environmental.Heat.and.Cold.Exposure",0.05
"1248","Slovakia","Protein.Energy.Malnutrition",0.05
"2215","North Macedonia","Environmental.Heat.and.Cold.Exposure",0.05
"2117","Oman","Poisonings",0.05
"45","Zambia","Environmental.Heat.and.Cold.Exposure",0.06
"288","United States","Poisonings",0.06
"979","Sudan","Alcohol.Use.Disorders",0.06
"1325","Sierra Leone","Drug.Use.Disorders",0.06
"1666","Rwanda","Drug.Use.Disorders",0.06
"1936","Paraguay","Environmental.Heat.and.Cold.Exposure",0.06
"2111","Oman","Fire..Heat..and.Hot.Substances",0.06
"2225","North Macedonia","HIV.AIDS",0.06
"2416","New Zealand","Nutritional.Deficiencies",0.06
"3271","Lebanon","Exposure.to.Forces.of.Nature",0.06
"4197","Ghana","Conflict.and.Terrorism",0.06
"4637","Egypt","Alcohol.Use.Disorders",0.06
"4666","Ecuador","Exposure.to.Forces.of.Nature",0.06
"5417","Burundi","Drug.Use.Disorders",0.06
"5882","Bangladesh","Drug.Use.Disorders",0.06
"4611","El Salvador","Drug.Use.Disorders",0.06
"1068","South Sudan","Environmental.Heat.and.Cold.Exposure",0.0600000000000001
"1909","Peru","Alcohol.Use.Disorders",0.0600000000000001
"5966","Azerbaijan","Environmental.Heat.and.Cold.Exposure",0.0600000000000001
"34","Zambia","Fire..Heat..and.Hot.Substances",0.0699999999999998
"1258","Slovakia","Alcohol.Use.Disorders",0.0699999999999998
"3083","Madagascar","Environmental.Heat.and.Cold.Exposure",0.07
"3207","Liberia","Environmental.Heat.and.Cold.Exposure",0.07
"3501","Kazakhstan","Nutritional.Deficiencies",0.07
"3512","Jordan","Poisonings",0.07
"3599","Italy","Fire..Heat..and.Hot.Substances",0.07
"5133","Colombia","Alcohol.Use.Disorders",0.07
"426","Uganda","Drug.Use.Disorders",0.07
"2472","Nepal","Drug.Use.Disorders",0.07
"3641","Israel","Environmental.Heat.and.Cold.Exposure",0.07
"700","Timor","Alcohol.Use.Disorders",0.07
"705","Timor","Drug.Use.Disorders",0.07
"1108","South Korea","Drug.Use.Disorders",0.07
"1409","Senegal","Environmental.Heat.and.Cold.Exposure",0.07
"1418","Senegal","Drug.Use.Disorders",0.07
"1751","Qatar","Diarrheal.Diseases",0.07
"2033","Palestine","Alcohol.Use.Disorders",0.07
"3216","Liberia","Drug.Use.Disorders",0.07
"4301","Gambia","Drug.Use.Disorders",0.07
"4379","Finland","Protein.Energy.Malnutrition",0.07
"5410","Burundi","Exposure.to.Forces.of.Nature",0.07
"5727","Benin","Drug.Use.Disorders",0.07
"3273","Lebanon","Alcohol.Use.Disorders",0.07
"4451","Ethiopia","Alcohol.Use.Disorders",0.0700000000000001
"4653","Ecuador","Fire..Heat..and.Hot.Substances",0.0700000000000001
"3029","Malaysia","Tuberculosis",0.0700000000000003
"71","Yemen","Poisonings",0.0799999999999998
"3920","Haiti","Environmental.Heat.and.Cold.Exposure",0.0799999999999998
"1144","South Africa","Malaria",0.08
"1863","Philippines","Fire..Heat..and.Hot.Substances",0.08
"2870","Mauritania","Alcohol.Use.Disorders",0.08
"4870","Cyprus","Fire..Heat..and.Hot.Substances",0.08
"14","Zimbabwe","Environmental.Heat.and.Cold.Exposure",0.08
"1750","Qatar","Environmental.Heat.and.Cold.Exposure",0.08
"1760","Qatar","HIV.AIDS",0.08
"2317","Nigeria","Drug.Use.Disorders",0.08
"4022","Guinea","Drug.Use.Disorders",0.08
"4456","Ethiopia","Drug.Use.Disorders",0.08
"4876","Cyprus","Poisonings",0.08
"6249","Algeria","Alcohol.Use.Disorders",0.08
"1318","Sierra Leone","Exposure.to.Forces.of.Nature",0.08
"2093","Pakistan","Exposure.to.Forces.of.Nature",0.08
"3558","Japan","HIV.AIDS",0.08
"3707","Iraq","Alcohol.Use.Disorders",0.08
"4321","Gabon","Conflict.and.Terrorism",0.08
"4983","Cote d'Ivoire","Drug.Use.Disorders",0.08
"6154","Angola","Exposure.to.Forces.of.Nature",0.08
"231","Uruguay","Environmental.Heat.and.Cold.Exposure",0.08
"2126","Oman","Alcohol.Use.Disorders",0.08
"2525","Namibia","Environmental.Heat.and.Cold.Exposure",0.0800000000000001
"4312","Gabon","Fire..Heat..and.Hot.Substances",0.0800000000000001
"4315","Gabon","Chronic.Respiratory.Diseases",0.0800000000000001
"730","Thailand","Self.harm",0.0899999999999999
"782","Tajikistan","Road.Injuries",0.0899999999999999
"913","Sweden","Environmental.Heat.and.Cold.Exposure",0.09
"2086","Pakistan","Poisonings",0.09
"2308","Nigeria","Environmental.Heat.and.Cold.Exposure",0.09
"4172","Greece","Alcohol.Use.Disorders",0.09
"355","United Arab Emirates","Environmental.Heat.and.Cold.Exposure",0.09
"1132","South Africa","Exposure.to.Forces.of.Nature",0.09
"1170","Somalia","Drug.Use.Disorders",0.09
"3769","Indonesia","Alcohol.Use.Disorders",0.09
"4011","Guinea","Conflict.and.Terrorism",0.09
"5485","Bulgaria","Nutritional.Deficiencies",0.09
"5999","Austria","Exposure.to.Forces.of.Nature",0.09
"3598","Italy","Acute.Hepatitis",0.09
"3388","Kuwait","Poisonings",0.09
"4819","Democratic Republic of Congo","Environmental.Heat.and.Cold.Exposure",0.09
"40","Zambia","Poisonings",0.0900000000000001
"3362","Kyrgyzstan","Environmental.Heat.and.Cold.Exposure",0.0900000000000001
"3535","Jordan","Meningitis",0.0900000000000001
"1404","Senegal","Poisonings",0.0999999999999999
"2855","Mauritania","Fire..Heat..and.Hot.Substances",0.0999999999999999
"6079","Argentina","Fire..Heat..and.Hot.Substances",0.0999999999999999
"758","Tanzania","Environmental.Heat.and.Cold.Exposure",0.1
"1224","Slovenia","Diarrheal.Diseases",0.1
"2395","New Zealand","Protein.Energy.Malnutrition",0.1
"3738","Iran","Alcohol.Use.Disorders",0.1
"2089","Pakistan","Conflict.and.Terrorism",0.1
"5892","Bahrain","Acute.Hepatitis",0.1
"417","Uganda","Environmental.Heat.and.Cold.Exposure",0.1
"1969","Papua New Guinea","Exposure.to.Forces.of.Nature",0.1
"3092","Madagascar","Drug.Use.Disorders",0.1
"3340","Laos","Drug.Use.Disorders",0.1
"3521","Jordan","Alcohol.Use.Disorders",0.1
"3991","Guinea-Bissau","Drug.Use.Disorders",0.1
"5609","Bosnia and Herzegovina","Nutritional.Deficiencies",0.1
"514","Turkey","Alcohol.Use.Disorders",0.1
"3796","India","Environmental.Heat.and.Cold.Exposure",0.1
"3934","Haiti","Malaria",0.11
"798","Tajikistan","Drug.Use.Disorders",0.11
"2038","Palestine","Drug.Use.Disorders",0.11
"2379","Nicaragua","Drug.Use.Disorders",0.11
"2622","Morocco","Alcohol.Use.Disorders",0.11
"3453","Kenya","Conflict.and.Terrorism",0.11
"4420","Fiji","Alcohol.Use.Disorders",0.11
"4912","Cuba","Environmental.Heat.and.Cold.Exposure",0.11
"5107","Comoros","Drug.Use.Disorders",0.11
"5386","Cambodia","Drug.Use.Disorders",0.11
"5913","Bahrain","Drug.Use.Disorders",0.11
"4425","Fiji","Drug.Use.Disorders",0.11
"5098","Comoros","Environmental.Heat.and.Cold.Exposure",0.11
"5093","Comoros","Poisonings",0.11
"487","Turkmenistan","Tuberculosis",0.11
"4344","France","Digestive.Diseases",0.119999999999997
"2321","Nigeria","Drowning",0.12
"6147","Angola","Poisonings",0.12
"539","Tunisia","Conflict.and.Terrorism",0.12
"1289","Singapore","Alcohol.Use.Disorders",0.12
"3061","Malawi","Drug.Use.Disorders",0.12
"3171","Libya","Poisonings",0.12
"3526","Jordan","Drug.Use.Disorders",0.12
"3852","Hungary","Protein.Energy.Malnutrition",0.12
"4199","Ghana","Environmental.Heat.and.Cold.Exposure",0.12
"4575","Equatorial Guinea","Alcohol.Use.Disorders",0.12
"5656","Bhutan","Environmental.Heat.and.Cold.Exposure",0.12
"5665","Bhutan","Drug.Use.Disorders",0.12
"5997","Austria","Environmental.Heat.and.Cold.Exposure",0.12
"2534","Namibia","Drug.Use.Disorders",0.12
"4208","Ghana","Drug.Use.Disorders",0.12
"545","Tunisia","Alcohol.Use.Disorders",0.12
"1883","Philippines","Drug.Use.Disorders",0.12
"4808","Democratic Republic of Congo","Fire..Heat..and.Hot.Substances",0.13
"1072","South Sudan","Alcohol.Use.Disorders",0.13
"2587","Mozambique","Environmental.Heat.and.Cold.Exposure",0.13
"304","United States","Maternal.Disorders",0.13
"18","Zimbabwe","Alcohol.Use.Disorders",0.13
"3016","Malaysia","Poisonings",0.13
"3464","Kenya","Drug.Use.Disorders",0.13
"3588","Jamaica","Drug.Use.Disorders",0.13
"3774","Indonesia","Drug.Use.Disorders",0.13
"3899","Honduras","HIV.AIDS",0.13
"4860","Czechia","HIV.AIDS",0.13
"3630","Israel","Fire..Heat..and.Hot.Substances",0.13
"4180","Greece","Interpersonal.Violence",0.13
"3650","Israel","Drug.Use.Disorders",0.14
"5470","Bulgaria","Environmental.Heat.and.Cold.Exposure",0.14
"1192","Solomon Islands","Environmental.Heat.and.Cold.Exposure",0.14
"80","Yemen","Alcohol.Use.Disorders",0.14
"1843","Poland","Environmental.Heat.and.Cold.Exposure",0.14
"3397","Kuwait","Alcohol.Use.Disorders",0.14
"6099","Argentina","Drug.Use.Disorders",0.14
"2857","Mauritania","Cirrhosis.and.Other.Chronic.Liver.Diseases",0.140000000000001
"5525","Brazil","Road.Injuries",0.140000000000001
"854","Syria","Self.harm",0.15
"5577","Botswana","Malaria",0.15
"1379","Serbia","Diarrheal.Diseases",0.15
"1967","Papua New Guinea","Environmental.Heat.and.Cold.Exposure",0.15
"3873","Hungary","Nutritional.Deficiencies",0.15
"2148","Norway","Poisonings",0.15
"4788","Denmark","Environmental.Heat.and.Cold.Exposure",0.15
"5262","Central African Republic","Drug.Use.Disorders",0.15
"5348","Cameroon","Exposure.to.Forces.of.Nature",0.15
"1821","Portugal","Drug.Use.Disorders",0.15
"1987","Panama","Fire..Heat..and.Hot.Substances",0.15
"3025","Malaysia","Alcohol.Use.Disorders",0.15
"3767","Indonesia","Exposure.to.Forces.of.Nature",0.15
"4921","Cuba","Drug.Use.Disorders",0.15
"5381","Cambodia","Alcohol.Use.Disorders",0.15
"5403","Burundi","Poisonings",0.15
"1288","Singapore","Self.harm",0.15
"3370","Kyrgyzstan","Tuberculosis",0.15
"933","Suriname","Fire..Heat..and.Hot.Substances",0.16
"1878","Philippines","Alcohol.Use.Disorders",0.16
"2653","Montenegro","Alcohol.Use.Disorders",0.16
"674","Togo","Drug.Use.Disorders",0.16
"855","Syria","Alcohol.Use.Disorders",0.16
"2565","Myanmar","Drug.Use.Disorders",0.16
"2830","Mauritius","Poisonings",0.16
"4828","Democratic Republic of Congo","Drug.Use.Disorders",0.16
"5914","Bahrain","HIV.AIDS",0.16
"2339","Niger","Environmental.Heat.and.Cold.Exposure",0.16
"4270","Georgia","Drug.Use.Disorders",0.16
"3808","India","Interpersonal.Violence",0.16
"957","Suriname","Drowning",0.17
"5062","Congo","Poisonings",0.17
"1976","Papua New Guinea","Drug.Use.Disorders",0.17
"3583","Jamaica","Alcohol.Use.Disorders",0.17
"3713","Iraq","HIV.AIDS",0.17
"6161","Angola","Drug.Use.Disorders",0.17
"944","Suriname","Environmental.Heat.and.Cold.Exposure",0.17
"1109","South Korea","HIV.AIDS",0.17
"1734","Romania","Nutritional.Deficiencies",0.17
"5293","Cape Verde","Drug.Use.Disorders",0.17
"5408","Burundi","Environmental.Heat.and.Cold.Exposure",0.17
"1123","South Africa","Road.Injuries",0.18
"127","Venezuela","Fire..Heat..and.Hot.Substances",0.18
"716","Thailand","Fire..Heat..and.Hot.Substances",0.18
"6311","Afghanistan","Alcohol.Use.Disorders",0.18
"1754","Qatar","Alcohol.Use.Disorders",0.18
"1837","Poland","Protein.Energy.Malnutrition",0.18
"2959","Mali","Environmental.Heat.and.Cold.Exposure",0.18
"3557","Japan","Drug.Use.Disorders",0.18
"5780","Belgium","Environmental.Heat.and.Cold.Exposure",0.18
"6068","Armenia","Drug.Use.Disorders",0.18
"1713","Romania","Protein.Energy.Malnutrition",0.18
"3468","Kenya","Drowning",0.18
"4280","Gambia","Acute.Hepatitis",0.18
"4814","Democratic Republic of Congo","Poisonings",0.18
"4439","Ethiopia","Chronic.Respiratory.Diseases",0.19
"1134","South Africa","Alcohol.Use.Disorders",0.19
"3982","Guinea-Bissau","Environmental.Heat.and.Cold.Exposure",0.19
"5397","Burundi","Fire..Heat..and.Hot.Substances",0.19
"1444","Saudi Arabia","Alcohol.Use.Disorders",0.19
"3455","Kenya","Environmental.Heat.and.Cold.Exposure",0.19
"1745","Qatar","Poisonings",0.19
"1858","Poland","Nutritional.Deficiencies",0.19
"1945","Paraguay","Drug.Use.Disorders",0.19
"2963","Mali","Alcohol.Use.Disorders",0.19
"3000","Maldives","HIV.AIDS",0.19
"3247","Lesotho","Drug.Use.Disorders",0.19
"5448","Burkina Faso","Drug.Use.Disorders",0.19
"3180","Libya","Alcohol.Use.Disorders",0.19
"1041","Spain","Alcohol.Use.Disorders",0.19
"1660","Rwanda","Self.harm",0.199999999999999
"3530","Jordan","Drowning",0.2
"5572","Botswana","Drug.Use.Disorders",0.2
"1294","Singapore","Drug.Use.Disorders",0.2
"2343","Niger","Alcohol.Use.Disorders",0.2
"2520","Namibia","Poisonings",0.2
"3590","Jamaica","Maternal.Disorders",0.2
"5563","Botswana","Environmental.Heat.and.Cold.Exposure",0.2
"3785","India","Fire..Heat..and.Hot.Substances",0.2
"5885","Bangladesh","Interpersonal.Violence",0.2
"6308","Afghanistan","Diarrheal.Diseases",0.200000000000001
"5783","Belgium","Self.harm",0.209999999999997
"1398","Senegal","Fire..Heat..and.Hot.Substances",0.21
"3034","Malaysia","Drowning",0.21
"4706","Dominican Republic","Maternal.Disorders",0.21
"5056","Congo","Fire..Heat..and.Hot.Substances",0.21
"665","Togo","Environmental.Heat.and.Cold.Exposure",0.21
"2558","Myanmar","Exposure.to.Forces.of.Nature",0.21
"3333","Laos","Exposure.to.Forces.of.Nature",0.21
"5883","Bangladesh","HIV.AIDS",0.21
"2312","Nigeria","Alcohol.Use.Disorders",0.21
"4044","Guatemala","Environmental.Heat.and.Cold.Exposure",0.21
"5908","Bahrain","Alcohol.Use.Disorders",0.21
"2219","North Macedonia","Alcohol.Use.Disorders",0.22
"4673","Ecuador","Drug.Use.Disorders",0.22
"5905","Bahrain","Diarrheal.Diseases",0.22
"2922","Malta","Protein.Energy.Malnutrition",0.22
"4645","Egypt","Interpersonal.Violence",0.22
"5108","Comoros","HIV.AIDS",0.22
"373","United Arab Emirates","Meningitis",0.22
"1388","Serbia","HIV.AIDS",0.22
"2932","Malta","Alcohol.Use.Disorders",0.22
"4292","Gambia","Environmental.Heat.and.Cold.Exposure",0.22
"5355","Cameroon","Drug.Use.Disorders",0.22
"5502","Brunei","Diarrheal.Diseases",0.22
"5603","Bosnia and Herzegovina","Drug.Use.Disorders",0.22
"54","Zambia","Drug.Use.Disorders",0.23
"200","Uzbekistan","Environmental.Heat.and.Cold.Exposure",0.23
"767","Tanzania","Drug.Use.Disorders",0.23
"4580","Equatorial Guinea","Drug.Use.Disorders",0.23
"4885","Cyprus","Alcohol.Use.Disorders",0.23
"4974","Cote d'Ivoire","Environmental.Heat.and.Cold.Exposure",0.23
"5513","Brunei","Interpersonal.Violence",0.23
"5976","Azerbaijan","HIV.AIDS",0.23
"6141","Angola","Fire..Heat..and.Hot.Substances",0.23
"2813","Mexico","Drug.Use.Disorders",0.23
"5505","Brunei","Alcohol.Use.Disorders",0.23
"1435","Saudi Arabia","Poisonings",0.23
"4553","Eritrea","Drowning",0.239999999999999
"6248","Algeria","Self.harm",0.24
"3279","Lebanon","HIV.AIDS",0.24
"1316","Sierra Leone","Environmental.Heat.and.Cold.Exposure",0.24
"5480","Bulgaria","HIV.AIDS",0.24
"147","Venezuela","Drug.Use.Disorders",0.24
"195","Uzbekistan","Poisonings",0.24
"1084","South Sudan","Parkinson.s.Disease",0.24
"1413","Senegal","Alcohol.Use.Disorders",0.24
"3986","Guinea-Bissau","Alcohol.Use.Disorders",0.24
"4875","Cyprus","Protein.Energy.Malnutrition",0.24
"5253","Central African Republic","Environmental.Heat.and.Cold.Exposure",0.24
"5758","Belize","Drug.Use.Disorders",0.24
"5946","Bahamas","Maternal.Disorders",0.24
"5975","Azerbaijan","Drug.Use.Disorders",0.24
"2039","Palestine","HIV.AIDS",0.24
"3527","Jordan","HIV.AIDS",0.24
"5076","Congo","Drug.Use.Disorders",0.24
"4896","Cyprus","Nutritional.Deficiencies",0.24
"2035","Palestine","Lower.Respiratory.Infections",0.24
"4708","Dominican Republic","Drowning",0.24
"5757","Belize","Tuberculosis",0.24
"1882","Philippines","Tuberculosis",0.240000000000002
"1759","Qatar","Drug.Use.Disorders",0.25
"4332","Gabon","Drug.Use.Disorders",0.25
"520","Turkey","HIV.AIDS",0.25
"1938","Paraguay","Exposure.to.Forces.of.Nature",0.25
"2013","Panama","Nutritional.Deficiencies",0.25
"3929","Haiti","Drug.Use.Disorders",0.25
"3960","Guyana","Drug.Use.Disorders",0.25
"4212","Ghana","Drowning",0.25
"4473","Eswatini","Poisonings",0.25
"4478","Eswatini","Environmental.Heat.and.Cold.Exposure",0.25
"4487","Eswatini","Drug.Use.Disorders",0.25
"4615","El Salvador","Drowning",0.25
"6267","Albania","Cirrhosis.and.Other.Chronic.Liver.Diseases",0.25
"1320","Sierra Leone","Alcohol.Use.Disorders",0.25
"4017","Guinea","Alcohol.Use.Disorders",0.25
"3036","Malaysia","Nutritional.Deficiencies",0.26
"3211","Liberia","Alcohol.Use.Disorders",0.26
"793","Tajikistan","Alcohol.Use.Disorders",0.26
"1914","Peru","Drug.Use.Disorders",0.26
"1925","Paraguay","Fire..Heat..and.Hot.Substances",0.26
"2100","Pakistan","Drug.Use.Disorders",0.26
"2327","Niger","Acute.Hepatitis",0.26
"3087","Madagascar","Alcohol.Use.Disorders",0.26
"3821","Iceland","Protein.Energy.Malnutrition",0.26
"3842","Iceland","Nutritional.Deficiencies",0.26
"5226","Chad","Alcohol.Use.Disorders",0.26
"5346","Cameroon","Environmental.Heat.and.Cold.Exposure",0.26
"5412","Burundi","Alcohol.Use.Disorders",0.26
"5424","Burundi","Parkinson.s.Disease",0.26
"5439","Burkina Faso","Environmental.Heat.and.Cold.Exposure",0.26
"2249","North Korea","Self.harm",0.27
"3833","Iceland","Lower.Respiratory.Infections",0.27
"4987","Cote d'Ivoire","Drowning",0.27
"2080","Pakistan","Fire..Heat..and.Hot.Substances",0.27
"1661","Rwanda","Alcohol.Use.Disorders",0.27
"3692","Iraq","Fire..Heat..and.Hot.Substances",0.27
"5135","Colombia","Lower.Respiratory.Infections",0.270000000000001
"3056","Malawi","Alcohol.Use.Disorders",0.28
"519","Turkey","Drug.Use.Disorders",0.28
"1806","Portugal","Protein.Energy.Malnutrition",0.28
"1853","Poland","HIV.AIDS",0.28
"2131","Oman","Drug.Use.Disorders",0.28
"3015","Malaysia","Protein.Energy.Malnutrition",0.28
"5722","Benin","Alcohol.Use.Disorders",0.28
"1057","South Sudan","Fire..Heat..and.Hot.Substances",0.28
"5718","Benin","Environmental.Heat.and.Cold.Exposure",0.29
"3030","Malaysia","Drug.Use.Disorders",0.29
"3054","Malawi","Exposure.to.Forces.of.Nature",0.29
"3099","Madagascar","Parkinson.s.Disease",0.29
"4766","Djibouti","Drug.Use.Disorders",0.29
"4944","Croatia","Diarrheal.Diseases",0.29
"762","Tanzania","Alcohol.Use.Disorders",0.29
"1079","South Sudan","Maternal.Disorders",0.29
"1992","Panama","Protein.Energy.Malnutrition",0.29
"2465","Nepal","Exposure.to.Forces.of.Nature",0.29
"2758","Moldova","Parkinson.s.Disease",0.29
"4013","Guinea","Environmental.Heat.and.Cold.Exposure",0.29
"4296","Gambia","Alcohol.Use.Disorders",0.29
"5192","Chile","Diarrheal.Diseases",0.29
"6280","Albania","Alcohol.Use.Disorders",0.29
"412","Uganda","Poisonings",0.29
"163","Vanuatu","Protein.Energy.Malnutrition",0.3
"184","Vanuatu","Nutritional.Deficiencies",0.3
"3405","Kuwait","Interpersonal.Violence",0.3
"178","Vanuatu","Drug.Use.Disorders",0.3
"2426","Netherlands","Protein.Energy.Malnutrition",0.3
"2467","Nepal","Alcohol.Use.Disorders",0.3
"5200","Chile","Drug.Use.Disorders",0.3
"6309","Afghanistan","Exposure.to.Forces.of.Nature",0.3
"181","Vanuatu","Interpersonal.Violence",0.3
"405","Uganda","Acute.Hepatitis",0.3
"430","Uganda","Drowning",0.3
"1046","Spain","Drug.Use.Disorders",0.3
"3196","Liberia","Fire..Heat..and.Hot.Substances",0.3
"4327","Gabon","Alcohol.Use.Disorders",0.3
"5634","Bolivia","Drug.Use.Disorders",0.3
"766","Tanzania","Tuberculosis",0.309999999999999
"6156","Angola","Alcohol.Use.Disorders",0.31
"164","Vanuatu","Poisonings",0.31
"2134","Oman","Interpersonal.Violence",0.31
"421","Uganda","Alcohol.Use.Disorders",0.31
"753","Tanzania","Poisonings",0.31
"3010","Malaysia","Fire..Heat..and.Hot.Substances",0.31
"4841","Czechia","Cirrhosis.and.Other.Chronic.Liver.Diseases",0.310000000000002
"2303","Nigeria","Poisonings",0.32
"5155","China","Poisonings",0.32
"350","United Arab Emirates","Poisonings",0.32
"4156","Greece","Acute.Hepatitis",0.32
"4891","Cyprus","HIV.AIDS",0.32
"3371","Kyrgyzstan","Drug.Use.Disorders",0.32
"4978","Cote d'Ivoire","Alcohol.Use.Disorders",0.32
"5087","Comoros","Fire..Heat..and.Hot.Substances",0.32
"2143","Norway","Digestive.Diseases",0.329999999999998
"4169","Greece","Diarrheal.Diseases",0.33
"5279","Cape Verde","Poisonings",0.33
"3382","Kuwait","Fire..Heat..and.Hot.Substances",0.33
"5102","Comoros","Alcohol.Use.Disorders",0.33
"5284","Cape Verde","Environmental.Heat.and.Cold.Exposure",0.33
"6043","Australia","Nutritional.Deficiencies",0.33
"4405","Fiji","Fire..Heat..and.Hot.Substances",0.33
"5731","Benin","Drowning",0.33
"3897","Honduras","Tuberculosis",0.34
"4482","Eswatini","Alcohol.Use.Disorders",0.34
"5594","Bosnia and Herzegovina","Environmental.Heat.and.Cold.Exposure",0.34
"2596","Mozambique","Drug.Use.Disorders",0.34
"6022","Australia","Protein.Energy.Malnutrition",0.34
"2797","Mexico","Road.Injuries",0.35
"5419","Burundi","Maternal.Disorders",0.35
"406","Uganda","Fire..Heat..and.Hot.Substances",0.35
"3805","India","Drug.Use.Disorders",0.35
"4549","Eritrea","Drug.Use.Disorders",0.35
"5851","Barbados","Drug.Use.Disorders",0.35
"149","Venezuela","Maternal.Disorders",0.35
"886","Switzerland","Alcohol.Use.Disorders",0.35
"87","Yemen","Maternal.Disorders",0.350000000000001
"1961","Papua New Guinea","Protein.Energy.Malnutrition",0.36
"3378","Kyrgyzstan","Parkinson.s.Disease",0.36
"5389","Cambodia","Interpersonal.Violence",0.36
"4823","Democratic Republic of Congo","Alcohol.Use.Disorders",0.36
"356","United Arab Emirates","Diarrheal.Diseases",0.36
"2002","Panama","Alcohol.Use.Disorders",0.36
"2007","Panama","Drug.Use.Disorders",0.36
"4304","Gambia","Interpersonal.Violence",0.36
"1982","Papua New Guinea","Nutritional.Deficiencies",0.36
"240","Uruguay","Drug.Use.Disorders",0.37
